Data Colação,Trabalhando?,O que está fazendo?,Área de Atuação,Área de atuação em TI,Mudou de trabalho por causa do curso?,Contato feito?,Empresa,Mudou de região?,Finalizado,Já trabalhava com TI no curso?
14/03/2019,Sim,,Design,,Não,Sim,Curso JV,,Sim,
12/04/2019,Sim,,TI,Sistemas,Sim,Sim,,Sim,Sim,
12/04/2019,Sim,,TI,Suporte,Sim,,Rede Graal,,Sim,
06/07/2019,Sim,,Administração,,,Aguardando,,,Sim,
11/09/2019,Sim,,TI,Dados,Sim,,,,Sim,
11/09/2019,Sim,,TI,Dev,Sim,,Agência em Taubaté,,Sim,
11/09/2019,Sim,,Administração,,Não,,Sindicato Rural de Lorena e Piquete,,Sim,
11/09/2019,Sim,,Administração,,Não,,Prefeitura Municipal de Lorena,,Sim,
11/09/2019,Sim,,TI,Dev,Não,,Própria,,Sim,
11/09/2019,Sim,,TI,Dev,Sim,,,,Sim,
11/09/2019,,,,,,,,,,
11/09/2019,Sim,,TI,Telecomunicação,Sim,,GWG Telecom,,Sim,
11/09/2019,Sim,,TI,Dev,Sim,,SMT,,Sim,
11/09/2019,Sim,,TI,Dev,Sim,,,,Sim,
11/09/2019,Sim,,TI,Marketing Digital,Sim,,,,Sim,
11/09/2019,Sim,,TI,Suporte,Não,,,,Sim,
11/09/2019,Sim,,TI,Dev,Sim,,FATECOINS,,Sim,
11/09/2019,Sim,,Produção,,Não,,Rina do Brasil,,Sim,
11/09/2019,Sim,,TI,Dev,Sim,,,,Sim,
11/09/2019,Sim,,Produção,,Não,Sim,Valle folheados,,Sim,
11/09/2019,Sim,,Administração,,Sim,Sim,Fábrica de Cobertores de Guaratinguetá,,Sim,
11/09/2019,Sim,,TI,Dev,Sim,Sim,OCTO TI Consultoria,Sim,Sim,
11/09/2019,Sim,,Design,,Não,Não,Empresa própria,,Sim,
11/09/2019,Sim,,TI,Dev,Sim,Não,e-Deploy,Sim,Sim,
11/09/2019,Não,,Vendas,,Não,,Empresa própria,,Sim,
11/09/2019,Sim,,Educação,,Não,Não,Prefeitura de Barueri,,Sim,
11/09/2019,Sim,,TI,Manutenção,Não,Não,Empresa própria,,Sim,
11/09/2019,Sim,,TI,Processos,Sim,,Valfilm,,Sim,
11/09/2019,Sim,,TI,Dev,Sim,Não,e-Deploy,Sim,Sim,
11/09/2019,Sim,,Administração,,Não,Não,Himaflex,,Sim,
11/09/2019,Sim,,TI,Suporte,Sim,Sim,Tata Consultancy Services,,Sim,Sim
11/09/2019,Sim,,TI,Sistemas,Sim,Não,Liebherr,,Sim,
11/09/2019,Sim,,TI,Sistemas,Sim,Não,Liebherr,,Sim,
11/09/2019,Sim,,TI,Dev,Sim,Não,ZUP Innovation,,Sim,
11/09/2019,Sim,,TI,Dev,Sim,Sim,Jonhson & Jonhson,,Sim,
24/10/2019,Sim,,TI,Sistemas,Sim,,Maxion,,Sim,
24/10/2019,Não,Procurando,,,Não,Não,,,Sim,Sim
14/12/2019,Sim,,TI,Dev,Sim,,BeCredPromotora,,Sim,
14/12/2019,Sim,,TI,Dev,Sim,Sim,Pivot 08,,Sim,
14/12/2019,Sim,,Cuidador de idosos,,Não,Não,,,Sim,
14/12/2019,Sim,,TI,Sistemas,Sim,Sim,,,Sim,
14/12/2019,Sim,,TI,Dados,Sim,Não,,Sim,Sim,
14/12/2019,Não,Procurando,,,,Sim,,,Sim,
14/12/2019,Sim,,TI,Marketing Digital,Sim,Sim,,,Sim,
14/12/2019,Sim,,TI,Redes,Sim,Sim,,,Sim,
14/12/2019,Sim,,Administração,,Sim,Sim,,,Sim,
14/12/2019,Sim,,TI,Manutenção,Sim,Não,,,Sim,Sim
14/12/2019,Sim,,TI,Suporte,Sim,Sim,,,Sim,Sim
14/12/2019,Sim,,TI,Dev,Sim,Não,,Sim,Sim,
14/12/2019,Sim,,TI,Dev,Sim,Não,,Sim,Sim,
14/12/2019,,,,,,Aguardando,,,,
14/12/2019,Sim,,Administração,Marketing,Sim,Sim,,,Sim,
14/12/2019,Sim,,Caixa,,,Sim,,,Sim,
14/12/2019,,,,,,Aguardando,,,,
14/12/2019,Sim,,TI,Infraestrutura,Sim,Não,,,Sim,
14/12/2019,Sim,,TI,Marketing Digital,Sim,Sim,,,Sim,
